,type,address_1,address_2,open_hours,city,state,postal_code,latitude,longitude
225,Pizza Hut,555 Frankie Matthew Dr,,10:45 AM - 9:00 PM,Waldron,AR,72958,34.9026,-94.0772
226,Pizza Hut,2811 Hwy 67 North,,10:30 AM - 10:00 PM,Walnut Ridge,AR,72476,36.0244,-90.9288
227,Pizza Hut,105 W Central St,,10:30 AM - 10:00 PM,Warren,AR,71671,33.614,-92.0778
228,Pizza Hut,1109 N Missouri St,,10:00 AM - 10:00 PM,West Memphis,AR,72301,35.1484,-90.1779
229,Pizza Hut,7197 Sheridan Rd,Suite 104,10:30 AM - 10:00 PM,White Hall,AR,71602,34.274,-92.091
230,Pizza Hut,1817 N Falls Blvd,,10:30 AM - 10:00 PM,Wynne,AR,72396,35.233,-90.793
231,Pizza Hut,240 S Phelps Drive,,10:30 AM - 10:00 PM,Apache Junction,AZ,85120,33.3931,-111.5768
232,Pizza Hut,10685 W. Indian School Rd.,#J,10:30 AM - 12:00 AM,Avondale,AZ,85392,33.4777,-112.3093
233,Pizza Hut,1450 N. Dysart Road,,10:30 AM - 11:00 PM,Avondale,AZ,85323,33.4321,-112.3438
234,Pizza Hut,1217 E US Hwy 85,,10:30 AM - 11:00 PM,Buckeye,AZ,85326,33.3703,-112.5838
235,Pizza Hut,1300 S Watson Road,Suite A103,10:30 AM - 12:00 AM,Buckeye,AZ,85326,33.3703,-112.5838
236,Pizza Hut,19580 W Indian School Rd,,10:30 AM - 11:00 PM,Buckeye,AZ,85396,33.468,-112.4787
237,Pizza Hut,1855 Highway 95,,10:30 AM - 10:00 PM,Bullhead City,AZ,86442,35.106,-114.5947
238,Pizza Hut Express,3699 Highway 95,,,Bullhead City,AZ,86442,35.106,-114.5947
239,Pizza Hut,714 E Florence Blvd,,10:30 AM - 11:00 PM,Casa Grande,AZ,85122,32.8905,-111.754
240,Pizza Hut,1000 N Arizona Ave,,10:30 AM - 12:00 AM,Chandler,AZ,85225,33.3105,-111.8239
241,Pizza Hut,1919 W. Chandler Blvd.,#104,10:30 AM - 11:00 PM,Chandler,AZ,85224,33.3301,-111.8632
242,Pizza Hut,2960 S Alma School Rd.,#2,10:30 AM - 11:00 PM,Chandler,AZ,85286,33.2711,-111.8311
243,Pizza Hut Express,3425 W. Frye Road,,,Chandler,AZ,85226,33.3092,-111.9198
244,Pizza Hut Express,3777 S. Arizona Avenue,,,Chandler,AZ,85248,33.2509,-111.8593
245,Pizza Hut,4970 S. Gilbert Rd.,,10:30 AM - 11:00 PM,Chandler,AZ,85249,33.2414,-111.7745
246,Pizza Hut,5055 W Ray Road,A-6,10:30 AM - 12:00 AM,Chandler,AZ,85226,33.3092,-111.9198
247,Pizza Hut,985 W. Elliott Rd.,#3,10:30 AM - 11:00 PM,Chandler,AZ,85225,33.3105,-111.8239
248,Pizza Hut Express,100 Main Street,Best Western Canyon De Chelly Inn,,Chinle,AZ,86503,36.1304,-109.6037
249,Pizza Hut,312 Marketplace Dr,,10:30 AM - 10:00 PM,Chino Valley,AZ,86323,34.7757,-112.4731
250,Pizza Hut,109 N Arizona Blvd,,10:30 AM - 10:00 PM,Coolidge,AZ,85128,32.9574,-111.5344
251,Pizza Hut,472 S. Main Street,,10:30 AM - 10:00 PM,Cottonwood,AZ,86326,34.7055,-112.0091
252,Pizza Hut Express,1737 S Avenue 64 E,Dateland Travel Center,,Dateland,AZ,85333,32.8679,-113.4631
253,Pizza Hut,300 16th St,,10:30 AM - 10:00 PM,Douglas,AZ,85607,31.3511,-109.5447
254,Pizza Hut,3720 W Tohono Dr,,10:30 AM - 10:00 PM,Eloy,AZ,85131,32.7509,-111.5833
255,Pizza Hut Express,1050 S. Knoles Drive,Northern Arizona University,,Flagstaff,AZ,86011,35.1981,-111.6513
256,Pizza Hut Express,1650 S. Milton Road,,,Flagstaff,AZ,86001,35.1859,-111.662
257,Pizza Hut,2700 S Woodlands Village Blvd,Ste 400,10:30 AM - 11:00 PM,Flagstaff,AZ,86001,35.1859,-111.662
258,Pizza Hut,4825 Hwy 95,# 6 & 7,10:30 AM - 10:00 PM,Fort Mohave,AZ,86426,35.0052,-114.5687
259,Pizza Hut,13693 N. Fountain Hills Blvd.,#103,10:30 AM - 10:00 PM,Fountain Hills,AZ,85268,33.6085,-111.7237
260,Pizza Hut Express,3931 S. Gilbert Road,,,Gilbert,AZ,85297,33.2781,-111.7096
261,Pizza Hut,895 S Val Vista Dr,,10:30 AM - 12:00 AM,Gilbert,AZ,85296,33.3354,-111.7406
262,Pizza Hut Express,10404 North 43rd Avenue,,,Glendale,AZ,85302,33.5675,-112.1753
263,Pizza Hut,13105 W Glendale Ave,,10:30 AM - 11:00 PM,Glendale,AZ,85307,33.5376,-112.3137
264,Pizza Hut,4322 W Glendale Ave,,10:30 AM - 10:00 PM,Glendale,AZ,85301,33.5311,-112.1767
265,Pizza Hut,5825 W Bell Rd,,10:30 AM - 12:00 AM,Glendale,AZ,85308,33.6539,-112.1694
266,Pizza Hut,6650 W Bethany Home Rd,,10:30 AM - 12:00 AM,Glendale,AZ,85301,33.5311,-112.1767
267,Pizza Hut,8860 N 43rd Ave,,10:30 AM - 12:00 AM,Glendale,AZ,85302,33.5675,-112.1753
268,Pizza Hut,1497 Ash St,,10:30 AM - 11:00 PM,Globe,AZ,85501,33.4024,-110.7892
269,Pizza Hut,15557 W. Roosevelt,Suite #106,10:30 AM - 12:00 AM,Goodyear,AZ,85338,33.4368,-112.3834
270,Pizza Hut Express,995 S. Cotton Lane,,8:00 AM - 9:00 PM,Goodyear,AZ,85338,33.4368,-112.3834
271,Pizza Hut,18850 S Nogales Hwy,,10:30 AM - 10:00 PM,Green Valley,AZ,85614,31.8543,-111.0003
272,Pizza Hut,1606 Navajo Blvd.,,10:30 AM - 10:00 PM,Holbrook,AZ,86025,34.9085,-110.1434
273,Pizza Hut,2911 Stockton Hill Rd,,10:30 AM - 11:00 PM,Kingman,AZ,86401,35.1328,-113.7033
274,Pizza Hut,3295 E Andy Devine Ave,,10:30 AM - 10:00 PM,Kingman,AZ,86401,35.1328,-113.7033
275,Pizza Hut,230 Swanson Ave,,10:30 AM - 10:00 PM,Lake Havasu City,AZ,86403,34.4814,-114.3483
276,Pizza Hut,2960 N. Kiowa Blvd.,,10:30 AM - 10:00 PM,Lake Havasu City,AZ,86404,34.5575,-114.3307
277,Pizza Hut,5270 W. Baseline Rd.,#165,10:30 AM - 12:00 AM,Laveen,AZ,85339,33.3436,-112.1716
278,Pizza Hut,21101 N. John Wayne Hwy.,,10:30 AM - 10:00 PM,Maricopa,AZ,85139,32.9576,-112.0534
279,Pizza Hut Express,1051 N. Dobson Rd.,Cinemark Mesa 16 #366,,Mesa,AZ,85201,33.4317,-111.8469
280,Pizza Hut,1140 S. Country Club Dr.,#110,10:30 AM - 12:00 AM,Mesa,AZ,85210,33.3887,-111.8428
281,Pizza Hut Express,1230 S. Longmore Avenue,,9:00 AM - 7:00 PM,Mesa,AZ,85202,33.3851,-111.8724
282,Pizza Hut,1901 W Main St,,10:30 AM - 12:00 AM,Mesa,AZ,85201,33.4317,-111.8469
283,Pizza Hut,2056 E Baseline Rd,,10:30 AM - 11:00 PM,Mesa,AZ,85204,33.3992,-111.7896
284,Pizza Hut,2639 E Broadway Rd,Ste 104,10:30 AM - 12:00 AM,Mesa,AZ,85204,33.3992,-111.7896
285,Pizza Hut,2727 E. McKellips Rd.,#106,10:30 AM - 11:00 PM,Mesa,AZ,85213,33.4367,-111.7731
286,Pizza Hut,6017 East McKellips Rd.,,10:30 AM - 10:00 PM,Mesa,AZ,85215,33.4707,-111.7188
287,Pizza Hut,6671 E Baseline Rd.,#121,10:30 AM - 11:00 PM,Mesa,AZ,85206,33.4026,-111.7242
288,Pizza Hut,9053 E. Baseline Rd.,#105A,10:30 AM - 10:00 PM,Mesa,AZ,85209,33.3782,-111.6406
289,Pizza Hut,9333 East Apache Trail,Suite 101,10:30 AM - 11:00 PM,Mesa,AZ,85207,33.4321,-111.6426
290,Pizza Hut,589 Grand Ave,,10:30 AM - 10:00 PM,Nogales,AZ,85621,31.377,-110.9435
291,Pizza Hut,6 S Lake Powell Blvd,,10:00 AM - 10:00 PM,Page,AZ,86040,36.9147,-111.4558
292,Pizza Hut,1004 California Ave.,,10:30 AM - 10:00 PM,Parker,AZ,85344,34.15,-114.2891
293,Pizza Hut,113 S Beeline Hwy,,10:30 AM - 11:00 PM,Payson,AZ,85541,34.2198,-111.2878
294,Pizza Hut,21391 N. Lake Pleasant Pkwy.,Suite 1840,10:30 AM - 10:00 PM,Peoria,AZ,85382,33.6308,-112.2072
295,Pizza Hut,24786 N 67th Ave,#110,10:30 AM - 10:00 PM,Peoria,AZ,85383,33.7169,-112.238
296,Pizza Hut Express,24890 N Lake Pleasant Pkwy,,,Peoria,AZ,85383,33.7169,-112.238
297,Pizza Hut,6750 W. Peoria Ave.,#111,10:30 AM - 11:00 PM,Peoria,AZ,85345,33.5761,-112.2344
298,Pizza Hut,9151 W. Peoria Rd.,Suite 101,10:30 AM - 1:00 AM,Peoria,AZ,85345,33.5761,-112.2344
299,Pizza Hut,13624 N. 35th Avenue,,10:30 AM - 11:00 PM,Phoenix,AZ,85029,33.5961,-112.1199
300,Pizza Hut,1520 N 43rd Ave,,10:30 AM - 12:00 AM,Phoenix,AZ,85009,33.4564,-112.1284
301,Pizza Hut Express,16806 N. 7th Street,,,Phoenix,AZ,85022,33.6315,-112.052
302,Pizza Hut,1816 W. Bethany Home Road,Ste 104,10:30 AM - 12:00 AM,Phoenix,AZ,85015,33.5082,-112.1011
303,Pizza Hut,1839 W Indian School Rd,,10:30 AM - 10:00 PM,Phoenix,AZ,85015,33.5082,-112.1011
304,Pizza Hut,20206 North 27th Ave.,Suite B,10:30 AM - 12:00 AM,Phoenix,AZ,85027,33.6819,-112.0996
305,Pizza Hut,21 W. Van Buren St.,Ste. G4,10:30 AM - 12:00 AM,Phoenix,AZ,85003,33.4511,-112.0774
306,Pizza Hut,2436 E Bell Rd,,10:30 AM - 12:00 AM,Phoenix,AZ,85032,33.6238,-112.0044
307,Pizza Hut Express,2660 W. Thunderbird,,,Phoenix,AZ,85023,33.6324,-112.1118
308,Pizza Hut,2835 N 16th St.,#103,10:30 AM - 10:00 PM,Phoenix,AZ,85006,33.465,-112.0474
309,Pizza Hut,3103 E. Cactus Road,,10:30 AM - 10:00 PM,Phoenix,AZ,85028,33.5851,-112.0087
310,Pizza Hut,3145 E Chandler Blvd,,10:30 AM - 11:00 PM,Phoenix,AZ,85048,33.316,-112.0669
311,Pizza Hut,34640 N. North Valley Pkwy.,#A3,10:30 AM - 11:00 PM,Phoenix,AZ,85086,33.8155,-112.1202
312,Pizza Hut,3602 E Thomas Rd,,10:30 AM - 1:00 AM,Phoenix,AZ,85018,33.4958,-111.9883
313,Pizza Hut,3602 W Camelback Rd,,10:30 AM - 11:00 PM,Phoenix,AZ,85019,33.5123,-112.1417
314,Pizza Hut,420 E. Bell Road,Suite C101,10:30 AM - 10:00 PM,Phoenix,AZ,85022,33.6315,-112.052
315,Pizza Hut Express,4515 East Thomas Road,,,Phoenix,AZ,85018,33.4958,-111.9883
316,Pizza Hut,4708 S 48th St,,10:30 AM - 12:00 AM,Phoenix,AZ,85040,33.4061,-112.0265
317,Pizza Hut,5045 W Indian School Rd,,10:30 AM - 10:00 PM,Phoenix,AZ,85031,33.4939,-112.1696
318,Pizza Hut,5233 S Central Ave,Ste 9,10:30 AM - 12:00 AM,Phoenix,AZ,85040,33.4061,-112.0265
319,Pizza Hut Express,5715 N. 19th Avenue,,,Phoenix,AZ,85015,33.5082,-112.1011
320,Pizza Hut,5832 16th Street,,10:30 AM - 12:00 AM,Phoenix,AZ,85016,33.5021,-112.0305
321,Pizza Hut,6601 W Indian School Rd,,10:30 AM - 10:00 PM,Phoenix,AZ,85033,33.4944,-112.2132
322,Pizza Hut Express,7409 W. Virginia Avenue,,,Phoenix,AZ,85035,33.4724,-112.1832
323,Pizza Hut,8052 N. 19th Ave.,#14,10:30 AM - 12:00 AM,Phoenix,AZ,85021,33.56,-112.0927
324,Pizza Hut,8225 W Indian School Rd.,#1,10:30 AM - 12:00 AM,Phoenix,AZ,85033,33.4944,-112.2132
325,Pizza Hut,1512 Willow Creek Rd,# C,10:30 AM - 10:00 PM,Prescott,AZ,86305,34.8185,-112.9584
326,Pizza Hut,7430 Pav Way,,10:30 AM - 11:00 PM,Prescott Valley,AZ,86314,34.6019,-112.3264
327,Pizza Hut Express,21398 S. Ellsworth Loop Road,,,Queen Creek,AZ,85142,33.2487,-111.6343
328,Pizza Hut,40930 N. Ironwood,Suite 110,10:30 AM - 11:00 PM,Queen Creek,AZ,85140,33.1911,-111.528
329,Pizza Hut,561 E Bella Vista Rd,Ste. 100,10:30 AM - 10:00 PM,Queen Creek,AZ,85143,33.1911,-111.528
330,Pizza Hut,7507 S. Power Rd.,#106,10:30 AM - 11:00 PM,Queen Creek,AZ,85142,33.2487,-111.6343
331,Pizza Hut,1305 W Thatcher Blvd,,10:30 AM - 10:00 PM,Safford,AZ,85546,32.8295,-109.6266
332,Pizza Hut Express,48710 Vicksburg Road,Pride Travel Center,,Salome,AZ,85348,33.7481,-113.5715
333,Pizza Hut,624 San Luis Plaza Drive,,10:30 AM - 10:00 PM,San Luis,AZ,85349,32.487,-114.7822
334,Pizza Hut,11291 E. Via Linda,#128,10:30 AM - 10:00 PM,Scottsdale,AZ,85259,33.5879,-111.8404
335,Pizza Hut,6501 E. Greenway Parkway,Ste. 108,10:30 AM - 10:00 PM,Scottsdale,AZ,85254,33.6165,-111.9554
336,Pizza Hut,7790 E. McDowell Road,Suite 102,10:30 AM - 11:00 PM,Scottsdale,AZ,85257,33.4669,-111.9151
337,Pizza Hut,4460 S White Mountain Rd,,10:30 AM - 10:00 PM,Show Low,AZ,85901,34.2998,-110.0
338,Pizza Hut,3680 E Fry Blvd,,10:30 AM - 10:00 PM,Sierra Vista,AZ,85635,31.5365,-110.2666
339,Pizza Hut Express,4151 E Highway 90,,,Sierra Vista,AZ,85635,31.5365,-110.2666
340,Pizza Hut,900 E. Fry Blvd,,10:30 AM - 10:00 PM,Sierra Vista,AZ,85635,31.5365,-110.2666
341,Pizza Hut,10050 W Bell Rd.,#22,10:30 AM - 10:00 PM,Sun City,AZ,85351,33.6061,-112.2797
342,Pizza Hut,13706 W Bell Rd,Ste 16,10:30 AM - 12:00 AM,Surprise,AZ,85374,33.63,-112.3314
343,Pizza Hut,14763 W. Cactus Rd.,#120,10:30 AM - 12:00 AM,Surprise,AZ,85379,33.6021,-112.3736
344,Pizza Hut,16846 W. Bell Rd.,#114,10:30 AM - 12:00 AM,Surprise,AZ,85374,33.63,-112.3314
345,Pizza Hut,716 N. Main Street,Ste 102,10:30 AM - 10:00 PM,Taylor,AZ,85939,34.439,-110.0858
346,Pizza Hut,1712 E. Guadalupe Rd.,#102,10:30 AM - 12:00 AM,Tempe,AZ,85283,33.3665,-111.9312
347,Pizza Hut,1740 E. Broadway,#109,10:30 AM - 12:00 AM,Tempe,AZ,85282,33.3917,-111.9249
348,Pizza Hut Express,1800 Rio Salado Pkwy,#120,,Tempe,AZ,85281,33.4227,-111.9261
349,Pizza Hut,808 W Broadway Rd,,10:30 AM - 12:00 AM,Tempe,AZ,85282,33.3917,-111.9249
350,Pizza Hut,2755 S. 99th Ave.,#101,10:30 AM - 12:00 AM,Tolleson,AZ,85353,33.4347,-112.2774
351,Pizza Hut Express,9830 W Lower Buckeye Rd.,,,Tolleson,AZ,85353,33.4347,-112.2774
352,Pizza Hut Express,1010 N. 339th Avenue,Travel Centers Of America,,Tonopah,AZ,85354,33.4228,-112.9528
353,Pizza Hut Express,1300 E Tucson Marketplace Blvd,Cinemark Tucson Marketplace #1136,,Tucson,AZ,85713,32.1941,-110.9739
354,Pizza Hut,1502 W. Saint Marys,Suite 110,10:30 AM - 11:00 PM,Tucson,AZ,85745,32.2434,-111.0179
355,Pizza Hut,1865 W. Valencia,,10:30 AM - 11:00 PM,Tucson,AZ,85746,32.1422,-111.0506
356,Pizza Hut,1927 E Speedway Blvd,,10:30 AM - 10:30 PM,Tucson,AZ,85719,32.2474,-110.9491
357,Pizza Hut,2680 E. Valencia,Suite 176,10:00 AM - 10:30 PM,Tucson,AZ,85706,32.1392,-110.9451
358,Pizza Hut,3801 S. 6th Ave.,,10:30 AM - 10:00 PM,Tucson,AZ,85714,32.1707,-110.9719
359,Pizza Hut Express,3901 W. Ina Road,,,Tucson,AZ,85741,32.3472,-111.0419
360,Pizza Hut,3964 N Oracle Rd,,10:30 AM - 11:30 PM,Tucson,AZ,85705,32.2691,-110.9845
361,Pizza Hut Express,4040 N. Oracle Road,,,Tucson,AZ,85705,32.2691,-110.9845
362,Pizza Hut,4710 E Speedway Blvd,,10:30 AM - 11:00 PM,Tucson,AZ,85712,32.25,-110.8869
363,Pizza Hut,4811 E Sunrise,Ste 151,11:00 AM - 10:00 PM,Tucson,AZ,85718,32.3112,-110.9179
364,Pizza Hut Express,5870 E Broadway Blvd Ste 3006,Century Park Place 20 #465,,Tucson,AZ,85711,32.2127,-110.8829
365,Pizza Hut,6305 E 22nd St,,10:30 AM - 11:00 PM,Tucson,AZ,85710,32.2138,-110.824
366,Pizza Hut,7082 E Speedway Blvd,,10:30 AM - 11:00 PM,Tucson,AZ,85710,32.2138,-110.824
367,Pizza Hut,7665 N Lacholla Blvd,,10:30 AM - 11:00 PM,Tucson,AZ,85741,32.3472,-111.0419
368,Pizza Hut,8160 S Houghton Rd,Ste 102,10:30 AM - 10:00 PM,Tucson,AZ,85747,32.0984,-110.7272
369,Pizza Hut,8245 N. Silverbell Rd.,,10:30 AM - 11:00 PM,Tucson,AZ,85743,32.3366,-111.1771
370,Pizza Hut,9564 E Golf Links Rd,,10:30 AM - 10:00 PM,Tucson,AZ,85730,32.181,-110.819
371,Pizza Hut Express,9615 E. Old Spanish Trail,,,Tucson,AZ,85748,32.215,-110.7758
372,Pizza Hut Express,450 State Route 64,Grand Canyon Imax Theatre,,Tusayan,AZ,86023,35.9421,-112.1309
373,Pizza Hut,528 E. Wickenburg Way,,11:00 AM - 10:00 PM,Wickenburg,AZ,85358,33.9686,-112.7296
374,Pizza Hut,1001 W Rex Allen Dr,,11:00 AM - 10:00 PM,Willcox,AZ,85643,32.373,-109.8631
375,Pizza Hut,888 N Grand Canyon Blvd,,11:00 AM - 8:30 PM,Williams,AZ,86046,35.5434,-112.1707
376,Pizza Hut Express,State Highway 264 & Ir 12,Txpx Inline,,Window Rock,AZ,86515,35.6676,-109.0784
377,Pizza Hut,600 Mike's Pike Blvd.,,10:30 AM - 11:00 PM,Winslow,AZ,86047,35.0242,-110.6974
378,Pizza Hut,10611 S Fortuna Rd,,10:30 AM - 10:00 PM,Yuma,AZ,85367,32.6566,-114.4042
379,Pizza Hut Express,1450 S. Yuma Palms Parkway,,,Yuma,AZ,85365,32.7093,-114.4905
380,Pizza Hut,1843 S 4th Ave,,10:30 AM - 10:00 PM,Yuma,AZ,85364,32.7015,-114.6424
381,Pizza Hut,580 E 32nd St,,10:30 AM - 10:00 PM,Yuma,AZ,85365,32.7093,-114.4905
382,Pizza Hut Express,2700 5th Street,,,Alameda,CA,94501,37.7706,-122.2648
383,Pizza Hut,1224 S Atlantic Blvd,,10:00 AM - 12:00 AM,Alhambra,CA,91803,34.0745,-118.1434
384,Pizza Hut,2710 Alpine Blvd.,,11:00 AM - 10:00 PM,Alpine,CA,91901,32.8282,-116.7543
385,Pizza Hut,2211 N. Lake Ave.,,10:00 AM - 12:00 AM,Altadena,CA,91001,34.1912,-118.1392
386,Pizza Hut Express,101 S. Euclid Street,,,Anaheim,CA,92802,33.8085,-117.9228
387,Pizza Hut,116 S State College Blvd,,10:00 AM - 12:00 AM,Anaheim,CA,92806,33.8356,-117.8681
388,Pizza Hut,1697 W. Katella Ave,,10:00 AM - 12:00 AM,Anaheim,CA,92802,33.8085,-117.9228
389,Pizza Hut,2099 E Ball Rd,,10:00 AM - 12:00 AM,Anaheim,CA,92806,33.8356,-117.8681
390,Pizza Hut,301 S Magnolia Ave,,10:00 AM - 12:00 AM,Anaheim,CA,92804,33.8186,-117.9729
391,Pizza Hut,500 S. Euclid St.,,10:00 AM - 12:00 AM,Anaheim,CA,92802,33.8085,-117.9228
392,Pizza Hut,521 W Chapman Ave,,10:00 AM - 1:00 AM,Anaheim,CA,92802,33.8085,-117.9228
393,Pizza Hut,618 W La Palma Ave,,10:00 AM - 12:00 AM,Anaheim,CA,92801,33.8428,-117.9546
394,Pizza Hut,2713 Contra Loma Blvd,,9:30 AM - 11:00 PM,Antioch,CA,94509,37.9939,-121.8089
395,Pizza Hut Express,5769 Lone Tree Way,,,Antioch,CA,94531,37.9658,-121.7758
396,Pizza Hut Express,19201 Bear Valley Road,,,Apple Valley,CA,92308,34.4698,-117.1927
397,Pizza Hut Express,20288 Highway 18,,,Apple Valley,CA,92307,34.5291,-117.2132
398,Pizza Hut,20811 Bear Valley Rd,Ste C,9:30 AM - 11:00 PM,Apple Valley,CA,92308,34.4698,-117.1927
399,Pizza Hut,121 E Foothill Blvd,,10:00 AM - 12:00 AM,Arcadia,CA,91006,34.1324,-118.0264
400,Pizza Hut,161 E Live Oak Ave,,10:00 AM - 11:00 PM,Arcadia,CA,91006,34.1324,-118.0264
401,Pizza Hut,18325 Pioneer Blvd,,10:00 AM - 11:00 PM,Artesia,CA,90701,33.8654,-118.0731
402,Pizza Hut Express,5552 S. Wheeler Ridge Road,Travel Centers Of America,10:00 AM - 10:00 PM,Arvin,CA,93203,35.1966,-118.8336
403,Pizza Hut Express,1000 Commerce Avenue,,,Atwater,CA,95301,37.3489,-120.6028
404,Pizza Hut,855 E Bellevue Rd,,9:30 AM - 11:00 PM,Atwater,CA,95301,37.3489,-120.6028
405,Pizza Hut,331 N. Citrus Ave.,,10:00 AM - 12:00 AM,Azusa,CA,91702,34.1248,-117.9031
406,Pizza Hut Express,809 N. Azusa Avenue,,,Azusa,CA,91702,34.1248,-117.9031
407,Pizza Hut Express,72363 Baker Blvd.,Baker Texaco,,Baker,CA,92309,35.3606,-116.0638
408,Pizza Hut Express,72922 Baker Blvd.,Baker Travel Plaza,,Baker,CA,92309,35.3606,-116.0638
409,Pizza Hut Express,11000 Stockdale Highway,,,Bakersfield,CA,93311,35.3039,-119.1056
410,Pizza Hut Express,1631 S. Comanche Drive,Comanche Country Side Market Shell,,Bakersfield,CA,93307,35.3275,-118.9839
411,Pizza Hut,2337 N Chester,,9:30 AM - 11:00 PM,Bakersfield,CA,93308,35.4244,-119.0433
412,Pizza Hut Express,2901 Ming Ave,,,Bakersfield,CA,93304,35.3396,-119.0218
413,Pizza Hut,3122A Niles St,,9:30 AM - 11:00 PM,Bakersfield,CA,93306,35.3867,-118.9391
414,Pizza Hut,3351 Panama Lane,Ste 300,9:30 AM - 11:00 PM,Bakersfield,CA,93313,35.2974,-119.0509
415,Pizza Hut,3701 Auburn Rd,,9:30 AM - 11:00 PM,Bakersfield,CA,93306,35.3867,-118.9391
416,Pizza Hut,4708 Planz Rd,,9:30 AM - 11:00 PM,Bakersfield,CA,93309,35.3384,-119.0627
417,Pizza Hut,5221B Stockdale Hwy,,9:30 AM - 11:00 PM,Bakersfield,CA,93309,35.3384,-119.0627
418,Pizza Hut,6300 White Ln,Ste O,9:30 AM - 11:00 PM,Bakersfield,CA,93309,35.3384,-119.0627
419,Pizza Hut,8110 Rosedale Hwy,Ste E,9:30 AM - 11:00 PM,Bakersfield,CA,93312,35.3935,-119.1205
420,Pizza Hut Express,9100 Rosedale Highway,,,Bakersfield,CA,93312,35.3935,-119.1205
421,Pizza Hut Express,9741 S. Enos Lane,Bakersfield Shell,,Bakersfield,CA,93311,35.3039,-119.1056
422,Pizza Hut,13926 Ramona Blvd,,10:00 AM - 12:00 AM,Baldwin Park,CA,91706,34.0964,-117.9682
423,Pizza Hut,1860 W Ramsey St,,10:00 AM - 11:00 PM,Banning,CA,92220,33.9282,-116.8899
424,Pizza Hut,481 Armory Rd,,9:30 AM - 11:00 PM,Barstow,CA,92311,34.8914,-117.0387
425,Pizza Hut,7000 Atlantic Ave,,10:00 AM - 12:00 AM,Bell,CA,90201,33.9653,-118.1515
426,Pizza Hut,5736 Gage Ave,,10:00 AM - 12:00 AM,Bell Gardens,CA,90201,33.9653,-118.1515
427,Pizza Hut,9118 Alondra Blvd,,10:00 AM - 12:00 AM,Bellflower,CA,90706,33.8867,-118.1265
428,Pizza Hut,375 W Main Street,,11:00 AM - 11:00 PM,Brawley,CA,92227,32.9792,-115.5296
429,Pizza Hut,649 W Imperial Hwy,,10:00 AM - 11:00 PM,Brea,CA,92821,33.9291,-117.8845
430,Pizza Hut,5236 Beach Blvd,,10:00 AM - 11:00 PM,Buena Park,CA,90621,33.8772,-117.9893
431,Pizza Hut,6832 Beach Blvd,,10:00 AM - 11:00 PM,Buena Park,CA,90621,33.8772,-117.9893
432,Pizza Hut Express,7530 Orangethorpe Avenue,,,Buena Park,CA,90621,33.8772,-117.9893
433,Pizza Hut Express,1800 W. Empire Avenue,,,Burbank,CA,91504,34.2001,-118.3264
434,Pizza Hut,3311 W Magnolia Blvd,,10:00 AM - 12:00 AM,Burbank,CA,91505,34.169,-118.3442
435,Pizza Hut,2534 Rockwood Ave.,Suite 103,11:00 AM - 11:00 PM,Calexico,CA,92231,32.6832,-115.5028
436,Pizza Hut,210 Arneill Rd,,10:30 AM - 11:00 PM,Camarillo,CA,93010,34.2313,-119.0464
437,Pizza Hut,22323 Sherman Way,,10:30 AM - 12:00 AM,Canoga Park,CA,91303,34.1993,-118.5983
438,Pizza Hut Express,6700 Topanga Canyon Blvd.,,,Canoga Park,CA,91303,34.1993,-118.5983
439,Pizza Hut,18520 Soledad Canyon Rd.,#15,10:00 AM - 12:00 AM,Canyon Country,CA,91351,34.4262,-118.449
440,Pizza Hut,20377 Avalon Blvd,,10:00 AM - 12:00 AM,Carson,CA,90746,33.8584,-118.2554
441,Pizza Hut Express,20700 S. Avalon Blvd.,,,Carson,CA,90746,33.8584,-118.2554
442,Pizza Hut Express,20700 South Avalon Blvd Suite 285,"Cinemark Carson And Xd, #1016",,Carson,CA,90746,33.8584,-118.2554
443,Pizza Hut,23301 Main St,,10:00 AM - 11:00 PM,Carson,CA,90745,33.823,-118.2684
444,Pizza Hut Express,651 West Sepulveda Blvd,,,Carson,CA,90745,33.823,-118.2684
445,Pizza Hut,29607 The Old Road,,10:00 AM - 11:00 PM,Castaic,CA,91384,34.4827,-118.6254
446,Pizza Hut,34401 Date Palm Dr,,9:30 AM - 11:00 PM,Cathedral City,CA,92234,33.8098,-116.4665
447,Pizza Hut,2600 Mitchell Rd,Ste P,9:30 AM - 12:00 AM,Ceres,CA,95307,37.5833,-120.9496
448,Pizza Hut Express,11525 E. South Street,,,Cerritos,CA,90703,33.8669,-118.0686
449,Pizza Hut,20901 Lassen St.,,10:00 AM - 12:00 AM,Chatsworth,CA,91311,34.2583,-118.5914
450,Pizza Hut Express,3944 Grand Avenue,,,Chino,CA,91710,34.0125,-117.6844
451,Pizza Hut,5460 E Philadelphia St,#6G,10:00 AM - 11:00 PM,Chino,CA,91710,34.0125,-117.6844
452,Pizza Hut,3660 Grand Ave.,Ste. E,10:00 AM - 11:00 PM,Chino Hills,CA,91709,33.9797,-117.7308
453,Pizza Hut,2326 Proctor Valley Rd.,Suite 101,11:00 AM - 11:00 PM,Chula Vista,CA,91914,32.6587,-116.9652
454,Pizza Hut,251 Palomar St.,Suite B,11:00 AM - 11:00 PM,Chula Vista,CA,91911,32.6084,-117.0565
455,Pizza Hut,885 East H St. D,,11:00 AM - 11:00 PM,Chula Vista,CA,91910,32.6371,-117.0676
